dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed,_source
csic2010,tiny,Unigram,token_fair,0.701,0.7036,406.3974,595,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.6172,0.4384,785.3036,1059,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.86,0.86,216.9894,416,724738,0.724738,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,small,BPE,token_fair,0.7628,0.47,327.2294,514,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.776,0.4668,329.4426,526,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.7124,0.7148,406.3974,595,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.6376,0.4424,785.3036,1059,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,small,CIT,token_fair,0.8848,0.8848,216.9894,416,3815426,3.815426,2048,512,2000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok2M/seed0/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.7746,0.477,329.209,519,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.752,0.4794,331.5484,532,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.7182,0.7196,402.7612,605,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.5878,0.588,788.5086,1066,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.8592,0.8592,213.3634,402,724738,0.724738,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,small,BPE,token_fair,0.7696,0.4734,329.209,519,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.7882,0.4834,331.5484,532,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.6194,0.6194,402.7612,605,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.6206,0.4612,788.5086,1066,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,small,CIT,token_fair,0.8644,0.8644,213.3634,402,3815426,3.815426,2048,512,2000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok2M/seed1/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.7922,0.4728,327.0838,513,724738,0.724738,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.7858,0.4816,329.2552,523,724738,0.724738,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.7238,0.7236,399.6362,598,724738,0.724738,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.6062,0.4436,785.4556,1057,724738,0.724738,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.878,0.878,218.015,414,724738,0.724738,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,small,BPE,token_fair,0.8072,0.4686,327.0838,513,3815426,3.815426,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.8028,0.4784,329.2552,523,3815426,3.815426,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.7566,0.756,399.6362,598,3815426,3.815426,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.5992,0.5876,785.4556,1057,3815426,3.815426,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,small,CIT,token_fair,0.8744,0.8744,218.015,414,3815426,3.815426,2048,512,2000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok2M/seed2/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.7986,0.4666,327.2294,514,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.8254,0.456,329.449,526,724738,0.724738,2048,512,5000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok5M/seed0/results_token_fair.csv
