tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m,_source
Bytes,small,1,2048,512,2000000,0.8045859351008292,336.54314668850446,347,0.3438088589556967,12.17846393585205,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed1/results.csv
CIT,mini,1,2048,512,2000000,0.8493192752584706,60.646125499027534,70,0.1157004109093304,1.124351978302002,3815426,3.815426,results/paper/e3_budget_sweep/tok2M/seed1/results.csv
CIT,small,1,2048,512,2000000,0.7606715119254785,60.646125499027534,70,0.1157004109093304,2.481152057647705,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed1/results.csv
BPE,mini,2,2048,512,2000000,0.8451223257242297,106.3424096632204,112,0.19350281766307778,1.3905919790267944,3815426,3.815426,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
BPE,small,2,2048,512,2000000,0.8317125601392159,106.3424096632204,112,0.19350281766307778,3.6485118865966797,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
WordPiece,mini,2,2048,512,2000000,0.8407206469444161,106.46954652472105,112,0.17056440811635623,1.368064045906067,3815426,3.815426,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
WordPiece,small,2,2048,512,2000000,0.8115467294503019,106.46954652472105,112,0.17056440811635623,3.6321280002593994,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
Unigram,mini,2,2048,512,2000000,0.8271061521138294,233.05824547036545,246,0.3714604336303986,3.0567359924316406,3815426,3.815426,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
Unigram,small,2,2048,512,2000000,0.8150271266250384,233.05824547036545,246,0.3714604336303986,7.766816139221191,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
Bytes,mini,2,2048,512,2000000,0.7943494728221927,336.62196744804993,348,0.43101210746785396,4.593472003936768,3815426,3.815426,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
Bytes,small,2,2048,512,2000000,0.7606715119254785,336.62196744804993,348,0.43101210746785396,11.829183578491211,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
CIT,mini,2,2048,512,2000000,0.8473743474255298,60.641621455624936,70,0.11892164190313476,1.1704319715499878,3815426,3.815426,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
CIT,small,2,2048,512,2000000,0.8296652676834886,60.641621455624936,70,0.11892164190313476,2.462559938430786,11631362,11.631362,results/paper/e3_budget_sweep/tok2M/seed2/results.csv
